# Instance vrpnc9 - 75 dynamic requests - 75 static requests
Dyn   Stat
75    75
ID    RD
1     -1
5     -1
6     -1
8     -1
9     -1
10    -1
12    -1
13    -1
14    -1
15    -1
16    -1
17    -1
19    -1
21    -1
26    -1
29    -1
31    -1
34    -1
35    -1
38    -1
39    -1
40    -1
45    -1
48    -1
50    -1
52    -1
54    -1
56    -1
57    -1
60    -1
61    -1
62    -1
63    -1
64    -1
66    -1
67    -1
68    -1
70    -1
72    -1
74    -1
75    -1
77    -1
81    -1
83    -1
84    -1
85    -1
90    -1
92    -1
95    -1
97    -1
100   -1
101   -1
102   -1
103   -1
106   -1
110   -1
111   -1
113   -1
115   -1
117   -1
120   -1
121   -1
122   -1
124   -1
127   -1
132   -1
133   -1
135   -1
136   -1
140   -1
141   -1
143   -1
146   -1
147   -1
149   -1
2     27
3     193
4     140
7     186
11    120
18    200
20    115
22    94
23    131
24    9
25    115
27    143
28    105
30    50
32    59
33    74
36    178
37    116
41    193
42    19
43    19
44    54
46    44
47    194
49    14
51    39
53    86
55    78
58    4
59    5
65    66
69    141
71    77
73    57
76    47
78    42
79    28
80    151
82    5
86    99
87    29
88    88
89    9
91    49
93    17
94    168
96    140
98    141
99    196
104   88
105   94
107   151
108   181
109   198
112   67
114   190
116   180
118   110
119   95
123   85
125   76
126   154
128   44
129   45
130   12
131   27
134   74
137   95
138   59
139   146
142   42
144   72
145   180
148   8
150   136
