# Instance C202 - 50 dynamic requests - 50 static requests
Dyn   Stat
50    50
ID    RD
1     -1
2     -1
3     -1
4     -1
7     -1
9     -1
10    -1
11    -1
12    -1
14    -1
16    -1
19    -1
20    -1
21    -1
24    -1
26    -1
29    -1
31    -1
35    -1
36    -1
39    -1
43    -1
46    -1
48    -1
53    -1
55    -1
56    -1
57    -1
58    -1
59    -1
61    -1
62    -1
63    -1
65    -1
68    -1
69    -1
71    -1
72    -1
73    -1
74    -1
76    -1
77    -1
80    -1
82    -1
83    -1
84    -1
88    -1
94    -1
97    -1
98    -1
5     31
6     358
8     1568
13    2369
15    380
17    1966
18    1305
22    14
23    1037
25    2439
27    84
28    787
30    272
32    39
33    461
34    74
37    353
38    693
40    40
41    304
42    1658
44    1224
45    1231
47    1005
49    850
50    78
51    1688
52    379
54    1074
60    1058
64    97
66    97
67    6
70    1588
75    318
78    2145
79    2373
81    1869
85    406
86    437
87    2666
89    626
90    3101
91    304
92    329
93    1
95    260
96    337
99    79
100   430
