# Instance R107 - 70 dynamic requests - 30 static requests
Dyn   Stat
70    30
ID    RD
1     -1
2     -1
3     -1
7     -1
13    -1
14    -1
16    -1
26    -1
34    -1
40    -1
41    -1
44    -1
45    -1
53    -1
55    -1
59    -1
64    -1
68    -1
72    -1
74    -1
78    -1
85    -1
86    -1
88    -1
91    -1
93    -1
95    -1
96    -1
97    -1
100   -1
4     131
5     20
6     39
8     50
9     31
10    103
11    49
12    3
15    23
17    135
18    12
19    8
20    3
21    7
22    53
23    1
24    2
25    113
27    4
28    4
29    25
30    39
31    17
32    20
33    8
35    47
36    33
37    18
38    53
39    13
42    16
43    24
46    8
47    10
48    25
49    11
50    6
51    19
52    2
54    8
56    91
57    6
58    178
60    5
61    10
62    15
63    2
65    37
66    32
67    68
69    17
70    22
71    12
73    16
75    1
76    35
77    109
79    68
80    1
81    10
82    8
83    10
84    12
87    53
89    13
90    14
92    1
94    27
98    14
99    72
