# Instance RC208 - 70 dynamic requests - 30 static requests
Dyn   Stat
70    30
ID    RD
4     -1
7     -1
12    -1
16    -1
18    -1
20    -1
21    -1
22    -1
25    -1
36    -1
38    -1
42    -1
43    -1
56    -1
57    -1
59    -1
60    -1
62    -1
64    -1
65    -1
69    -1
70    -1
75    -1
77    -1
82    -1
83    -1
92    -1
94    -1
95    -1
97    -1
1     317
2     4
3     255
5     7
6     38
8     173
9     161
10    18
11    30
13    148
14    13
15    26
17    220
19    81
23    13
24    59
26    326
27    18
28    44
29    27
30    62
31    38
32    78
33    35
34    265
35    156
37    268
39    22
40    43
41    185
44    12
45    15
46    14
47    4
48    66
49    339
50    74
51    109
52    23
53    146
54    349
55    388
58    201
61    39
63    17
66    319
67    49
68    235
71    24
72    11
73    63
74    105
76    80
78    32
79    192
80    13
81    11
84    117
85    195
86    108
87    240
88    13
89    258
90    57
91    193
93    330
96    91
98    6
99    124
100   165
