Capacity: 1000
Customer: 101

CUST NO.  	 XCOORD.  	 YCOORD.  	 DEMAND  	 READY TIME  	 DUE DATE  	 SERVICE TIME 	cost	d11	d12	d13	d14	d21	d22	d23	d24	d31	d32	d33	d34	d41	d42	 d43	d44	d51	d52	d53	d54
1	35	35	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	41	49	10	707	848	10	100	1	1	0	0	1	1	1	1	5	0	0	0	0	0	0	0	1	1	1	0
3	35	17	7	143	282	10	200	2	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	4	4	0	0
4	55	45	13	527	584	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
5	55	20	19	678	801	10	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
6	15	30	26	34	209	10	300	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	25	30	3	415	514	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
8	20	50	5	331	410	10	400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	10	43	9	404	481	10	300	1	1	0	0	1	0	0	0	5	4	1	1	1	1	0	0	5	2	0	0
10	55	60	16	400	497	10	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
11	30	60	16	577	632	10	200	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	20	65	12	206	325	10	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
13	50	35	19	228	345	10	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0
14	30	25	23	690	827	10	400	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
15	15	10	20	32	243	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
16	30	5	8	175	300	10	200	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
17	10	20	19	272	373	10	400	1	0	0	0	2	0	0	0	1	1	0	0	2	2	0	0	1	1	0	0
18	5	30	2	733	870	10	400	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	20	40	12	377	434	10	300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	15	60	17	269	378	10	200	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
21	45	65	9	581	666	10	100	0	0	0	0	5	4	0	0	0	0	0	0	1	1	1	1	1	1	0	0
22	45	20	11	214	331	10	300	0	0	0	0	0	0	0	0	5	3	2	2	0	0	0	0	0	0	0	0
23	45	10	18	409	494	10	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
24	55	5	29	206	325	10	200	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	65	35	3	704	847	10	200	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0
26	65	20	6	817	956	10	150	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
27	45	30	17	588	667	10	200	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
