Capacity: 1000
Customer: 101

CUST NO.  	 XCOORD.  	 YCOORD.  	 DEMAND  	 READY TIME  	 DUE DATE  	 SERVICE TIME 	cost	d11	d12	d13	d14	d21	d22	d23	d24	d31	d32	d33	d34	d41	d42	 d43	d44	d51	d52	d53	d54
1	40	50	0	0	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	25	85	20	0	911	10	100	1	1	0	0	1	1	1	1	5	0	0	0	0	0	0	0	1	1	1	0
3	22	75	30	0	919	10	200	2	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	4	4	0	0
4	22	85	10	0	910	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
5	20	80	40	644	764	10	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
6	20	85	20	0	909	10	300	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	18	75	20	388	508	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
8	15	75	20	0	914	10	400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	15	80	10	367	487	10	300	1	1	0	0	1	0	0	0	5	4	1	1	1	1	0	0	5	2	0	0
10	10	35	20	371	491	10	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
11	10	40	30	519	639	10	200	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	8	40	40	195	315	10	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
13	8	45	20	0	917	10	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0
14	5	35	10	653	773	10	400	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
15	5	45	10	0	914	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
16	2	40	20	174	294	10	200	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
17	0	40	20	0	908	10	400	1	0	0	0	2	0	0	0	1	1	0	0	2	2	0	0	1	1	0	0
18	0	45	20	703	823	10	400	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	44	5	20	0	904	10	300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	42	10	40	0	909	10	200	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
21	42	15	10	0	914	10	100	0	0	0	0	5	4	0	0	0	0	0	0	1	1	1	1	1	1	0	0
22	40	5	10	0	905	10	300	0	0	0	0	0	0	0	0	5	3	2	2	0	0	0	0	0	0	0	0
23	40	15	40	375	495	10	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
24	38	5	30	201	321	10	200	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	38	15	10	0	914	10	200	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0
26	35	5	20	784	904	10	150	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
27	95	30	30	0	891	10	200	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
28	95	35	20	146	266	10	300	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
29	92	30	10	0	894	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
30	90	35	10	0	897	10	300	0	0	0	0	0	0	0	0	5	3	2	1	0	0	0	0	0	0	0	0
31	88	30	10	246	366	10	50	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	1	0	0	0
32	88	35	20	0	899	10	100	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	0	0	0	0
33	87	30	10	0	898	10	200	1	0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1
34	85	25	10	80	200	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
35	85	35	30	0	902	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
36	67	85	20	657	777	10	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
37	65	85	40	43	163	10	300	0	0	0	0	0	0	0	0	3	3	2	2	0	0	0	0	0	0	0	0
38	65	82	10	0	909	10	400	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	0	0	0	0
39	62	80	30	278	398	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
40	60	80	10	64	184	10	100	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
41	60	85	30	329	449	10	100	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
42	58	75	20	376	496	10	150	0	0	0	0	0	0	0	0	4	4	2	0	0	0	0	0	0	0	0	0
43	55	80	10	33	153	10	400	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
44	55	85	20	0	911	10	100	0	0	0	0	0	0	0	0	4	4	3	2	1	1	1	1	3	1	1	0
45	55	82	10	217	337	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
46	20	82	10	37	157	10	300	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
47	18	80	10	0	912	10	200	3	3	3	2	1	1	1	0	2	2	0	0	5	3	3	2	1	0	0	0
48	2	45	10	0	911	10	200	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	42	5	10	0	904	10	200	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0
50	42	12	10	440	560	10	300	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0
51	72	35	30	0	914	10	100	1	0	0	0	1	1	0	0	1	1	0	0	5	1	0	0	0	0	0	0
52	55	20	19	0	916	10	600	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
53	25	30	3	0	925	10	100	0	0	0	0	0	0	0	0	5	3	2	1	0	0	0	0	0	0	0	0
54	20	50	5	375	495	10	50	2	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	5	0	0	0
55	55	60	16	0	931	10	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
56	30	60	16	599	719	10	600	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
57	50	35	19	557	677	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
58	30	25	23	0	923	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
59	15	10	20	782	902	10	100	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
60	10	20	19	0	907	10	300	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
61	15	60	17	0	923	10	300	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
62	45	65	9	0	934	10	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0
63	65	35	3	167	287	10	400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	65	20	6	0	910	10	400	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
65	45	30	17	191	311	10	100	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
66	35	40	16	11	131	10	150	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
67	41	37	16	566	686	10	300	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	5	0	0	0
68	64	42	9	268	388	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
69	40	60	21	612	732	10	400	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
70	31	52	27	157	277	10	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1
71	35	69	23	810	930	10	200	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	65	55	14	0	924	10	600	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	63	65	8	0	922	10	200	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0
74	2	60	5	0	910	10	600	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	20	20	8	645	765	10	300	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
76	5	5	16	0	892	10	300	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
77	60	12	31	268	388	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
78	23	3	7	764	884	10	200	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
79	8	56	27	365	485	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4	0
80	6	68	30	352	472	10	600	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
81	47	47	13	822	942	10	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	3	1
82	49	58	10	0	937	10	150	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0
83	27	43	9	0	935	10	200	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	37	31	14	0	930	10	200	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
85	57	29	18	395	515	10	200	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	63	23	2	0	914	10	100	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0
87	21	24	28	0	917	10	100	0	0	0	0	0	0	0	0	0	0	0	0	5	5	4	1	0	0	0	0
88	12	24	13	359	479	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
89	24	58	19	260	380	10	200	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0
90	67	5	25	0	897	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
91	37	47	6	0	945	10	50	1	1	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	49	42	13	0	937	10	400	5	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	53	43	14	14	134	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
94	61	52	3	808	928	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
95	57	48	23	0	932	10	200	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
96	56	37	6	0	929	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
97	55	54	26	0	934	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
98	4	18	35	0	901	10	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
99	26	52	9	0	935	10	200	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
100	26	35	15	308	428	10	100	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
101	31	67	3	810	930	10	600	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
