Capacity: 200
Customer: 101

CUST NO.  	 XCOORD.  	 YCOORD.  	 DEMAND  	 READY TIME  	 DUE DATE  	 SERVICE TIME 	cost	d11	d12	d13	d14	d21	d22	d23	d24	d31	d32	d33	d34	d41	d42	 d43	d44	d51	d52	d53	d54
1	35	35	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	41	49	10	161	171	10	100	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	35	17	7	50	60	10	100	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
4	55	45	13	116	126	10	200	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
5	55	20	19	149	159	10	100	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
6	15	30	26	34	44	10	300	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7	25	30	3	99	109	10	400	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
8	20	50	5	81	91	10	600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
9	10	43	9	95	105	10	200	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	55	60	16	97	107	10	400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	30	60	16	124	134	10	100	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
12	20	65	12	67	77	10	100	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
13	50	35	19	63	73	10	300	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
14	30	25	23	159	169	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
15	15	10	20	32	42	10	200	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	30	5	8	61	71	10	200	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
17	10	20	19	75	85	10	200	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
18	5	30	2	157	167	10	300	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
19	20	40	12	87	97	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
20	15	60	17	76	86	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
21	45	65	9	126	136	10	300	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
22	45	20	11	62	72	10	600	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
23	45	10	18	97	107	10	400	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
24	55	5	29	68	78	10	150	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
25	65	35	3	153	163	10	300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	65	20	6	172	182	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
27	45	30	17	132	142	10	200	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	35	40	16	37	47	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
29	41	37	16	39	49	10	50	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	64	42	9	63	73	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
31	40	60	21	71	81	10	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	31	52	27	50	60	10	100	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
33	35	69	23	141	151	10	100	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	53	52	11	37	47	10	150	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
