Technicians
Number of Technicians: 11
domains: 5
proficiency level: 4


ID	domain1	domain2	domain3	domain4	domain5
1	3	1	3	4	4
2	2	2	4	3	4
3	2	4	1	1	3
4	2	3	3	4	1
5	3	1	3	1	3
6	1	3	4	2	3
7	4	3	3	2	3
8	3	2	3	4	3
9	3	3	1	4	2
10	3	4	2	1	3
11	4	1	1	2	2
12	4	3	4	3	3
13	2	4	4	4	2
14	1	3	1	1	4
15	3	1	4	2	3
16	3	4	3	1	2
17	4	4	3	2	3
18	1	4	4	4	1
19	2	4	3	4	4
20	3	4	2	4	2
21	2	3	3	2	4
22	3	2	4	3	2
23	3	4	1	1	4
24	2	1	3	2	1
25	2	3	1	3	3
26	4	4	4	3	1
27	3	1	4	3	4
28	1	3	1	2	3
29	4	3	2	1	4
30	3	3	1	2	1
31	1	3	4	2	1
32	4	1	2	3	1
33	1	2	3	3	4
34	1	1	3	4	1
35	1	2	2	2	1
36	1	1	1	4	3
37	2	4	3	3	2
38	2	3	2	3	1
39	4	1	3	1	3
40	2	2	3	4	1
41	1	3	3	2	4
42	1	2	2	2	3
43	1	2	4	1	2
44	3	2	3	1	3
45	3	4	2	4	2
46	4	4	1	1	3
47	1	4	4	2	3
48	2	1	1	3	2
49	1	3	2	4	1
50	1	2	3	1	3
51	1	2	3	1	3
52	3	3	4	2	3
53	3	3	2	3	4
54	3	3	2	1	2
55	1	1	3	4	1
56	4	1	3	2	4
57	2	1	4	4	2
58	1	4	2	1	2
59	4	2	2	1	3
60	3	2	1	2	3
61	3	2	4	3	2
62	3	1	3	3	1
63	2	1	2	2	1
64	3	3	3	2	1
65	3	2	2	4	1
66	2	1	4	4	4
67	3	4	1	4	1
68	1	1	3	1	4
69	4	3	3	4	2
70	4	3	2	3	1
71	3	3	3	1	2
72	2	0	2	1	2
73	2	2	1	2	2
74	2	2	1	2	3
75	2	3	3	3	2
76	4	3	1	3	2
77	3	0	1	0	0
78	0	2	0	2	3
79	1	4	2	4	0
80	0	3	1	3	1
81	3	0	3	1	4
82	2	0	0	3	2
83	3	0	4	3	1
84	1	2	3	3	3
85	1	3	3	2	2
86	2	2	4	4	0
87	0	1	2	2	2
88	0	3	3	0	3
89	1	2	0	2	2
90	3	4	3	1	4




