Technicians
Number of Technicians: 130
domains: 6
proficiency level: 6


ID	domain1	domain2	domain3	domain4	domain5 domain6
1	6	3	4	6	6	5
2	2	0	0	0	0	1
3	4	2	5	3	6	4
4	2	6	5	2	3	6
5	3	2	6	3	6	4
6	5	5	4	3	5	3
7	0	2	2	0	0	0
8	4	1	3	4	6	6
9	3	3	1	5	4	4
10	3	4	3	6	6	4
11	4	3	3	4	6	5
12	3	1	4	5	4	3
13	6	3	3	1	6	5
14	6	5	4	4	3	5
15	6	4	2	5	5	5
16	4	4	6	6	5	5
17	4	1	4	3	3	5
18	3	1	5	6	4	6
19	1	0	0	0	2	0
20	2	3	1	3	3	5
21	3	3	3	6	4	4
22	4	4	5	5	4	6
23	5	5	4	6	5	4
24	4	1	1	3	6	3
25	6	3	1	4	4	3
26	3	6	4	4	4	4
27	0	0	0	0	1	0
28	5	6	3	3	4	5
29	5	6	3	4	6	5
30	5	3	5	6	5	5
31	3	6	6	5	6	6
32	5	3	5	5	3	5
33	3	6	4	4	3	3
34	3	4	3	6	3	6
35	1	2	1	0	0	0
36	6	4	5	3	3	6
37	4	3	1	3	5	6
38	0	0	2	1	0	2
39	1	1	2	0	0	0
40	2	6	5	4	6	6
41	3	1	3	4	6	5
42	2	6	5	6	6	4
43	4	3	5	3	5	5
44	2	0	0	0	0	0
45	2	2	0	0	2	0
46	2	2	0	0	0	0
47	0	0	0	1	0	2
48	2	2	0	2	0	0
49	0	0	0	1	0	2
50	2	1	2	0	0	0
51	2	1	0	0	0	0
52	0	0	0	0	1	2
53	0	2	0	2	0	0
54	2	0	0	0	0	0
55	2	0	1	0	0	0
56	0	0	0	0	1	2
57	1	0	0	2	0	0
58	0	1	0	0	0	0
59	2	2	0	0	1	0
60	1	2	0	0	0	0
61	2	2	0	0	1	0
62	2	0	0	1	0	0
63	1	0	0	0	0	0
64	2	0	0	0	1	0
65	2	0	0	1	0	0
66	0	2	0	0	2	0
67	1	0	0	0	0	0
68	2	1	0	0	0	0
69	5	5	3	6	3	6
70	2	3	4	3	6	5
71	1	5	6	3	5	3
72	1	6	6	6	5	4
73	1	6	6	6	4	6
74	4	3	4	4	6	3
75	6	3	3	6	4	4
76	5	2	4	6	4	5
77	1	5	2	4	3	3
78	1	5	3	4	4	4
79	6	3	4	3	1	5
80	4	1	6	3	2	3
81	3	4	3	4	4	5
82	3	5	5	4	5	4
83	4	3	4	3	6	3
84	3	6	2	6	4	3
85	2	4	3	4	3	3
86	6	6	2	2	4	4
87	1	3	3	4	6	4
88	5	2	4	6	6	6
89	3	1	3	6	3	4
90	3	2	3	4	4	3
91	6	2	3	5	5	5
92	1	3	5	6	4	5
93	1	3	5	3	5	6
94	2	3	6	6	6	5
95	1	3	3	4	3	6
96	3	5	3	2	3	6
97	3	2	4	2	3	4
98	4	6	3	3	4	3
99	2	5	3	5	5	3
100	2	4	2	5	3	6
101	3	3	3	2	3	4
102	2	3	3	3	5	3
103	3	1	3	5	5	3
104	3	5	5	6	6	6
105	3	4	5	0	5	1
106	2	3	3	5	3	3
107	4	0	3	4	5	5
108	0	5	2	6	3	3
109	0	5	2	3	0	2
110	5	4	5	6	2	2
111	1	5	2	1	4	3
112	3	3	4	4	6	1
113	3	4	3	2	3	0
114	2	1	4	4	2	4
115	0	1	4	6	3	3
116	3	2	2	0	3	1
117	5	2	2	2	1	4
118	6	2	4	1	4	4
119	6	1	4	2	2	0
120	5	3	1	4	4	2
121	2	2	4	4	1	2
122	5	3	2	2	2	2
123	6	4	5	6	0	1
124	0	2	5	1	2	4
125	0	2	5	3	1	6
126	0	6	3	5	1	1
127	3	5	3	5	6	1
128	1	2	2	4	2	5
129	2	2	0	5	4	1
130	2	4	5	4	2	5
