C105.100

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      0       0       1

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      1236   0      [] 	[] 	[]
1    40    50    0      1236   0      [] 	[] 	[200]
2    40    50    0      1236   0      [] 	[] 	[200]
3    40    50    0      1236   0      [] 	[] 	[200]
4    40    50    0      1236   0      [] 	[] 	[200]
5    40    50    0      1236   0      [] 	[] 	[200]
6    40    50    0      1236   0      [] 	[] 	[200]
7    40    50    0      1236   0      [] 	[] 	[200]
8    40    50    0      1236   0      [] 	[] 	[200]
9    40    50    0      1236   0      [] 	[] 	[200]
10   40    50    0      1236   0      [] 	[] 	[200]
11   40    50    0      1236   0      [] 	[] 	[200]
12   40    50    0      1236   0      [] 	[] 	[200]
13   40    50    0      1236   0      [] 	[] 	[200]
14   40    50    0      1236   0      [] 	[] 	[200]
15   40    50    0      1236   0      [] 	[] 	[200]
16   40    50    0      1236   0      [] 	[] 	[200]
17   40    50    0      1236   0      [] 	[] 	[200]
18   40    50    0      1236   0      [] 	[] 	[200]
19   40    50    0      1236   0      [] 	[] 	[200]
20   40    50    0      1236   0      [] 	[] 	[200]
21   40    50    0      1236   0      [] 	[] 	[200]
22   40    50    0      1236   0      [] 	[] 	[200]
23   40    50    0      1236   0      [] 	[] 	[200]
24   40    50    0      1236   0      [] 	[] 	[200]
25   40    50    0      1236   0      [] 	[] 	[200]
26   45    68    885    994    90     [] 	[] 	[10]
27   45    70    802    893    90     [] 	[] 	[30]
28   42    66    25     186    90     [] 	[] 	[10]
29   42    68    699    810    90     [] 	[] 	[10]
30   42    65    15     120    90     [] 	[] 	[10]
31   40    69    580    743    90     [] 	[] 	[20]
32   40    66    142    253    90     [] 	[] 	[20]
33   38    68    220    359    90     [] 	[] 	[20]
34   38    70    499    640    90     [] 	[] 	[10]
35   35    66    331    436    90     [] 	[] 	[10]
36   35    69    420    533    90     [] 	[] 	[10]
37   25    85    617    756    90     [] 	[] 	[20]
38   22    75    30     155    90     [] 	[] 	[30]
39   22    85    541    646    90     [] 	[] 	[10]
40   20    80    362    451    90     [] 	[] 	[40]
41   20    85    448    555    90     [] 	[] 	[40]
42   18    75    75     172    90     [] 	[] 	[20]
43   15    75    142    291    90     [] 	[] 	[20]
44   15    80    244    379    90     [] 	[] 	[10]
45   30    50    10     137    90     [] 	[] 	[10]
46   30    52    888    991    90     [] 	[] 	[20]
47   28    52    776    919    90     [] 	[] 	[20]
48   28    55    709    800    90     [] 	[] 	[10]
49   25    50    25     184    90     [] 	[] 	[10]
50   25    52    142    251    90     [] 	[] 	[40]
51   25    55    582    741    90     [] 	[] 	[10]
52   23    52    234    343    90     [] 	[] 	[10]
53   23    55    523    616    90     [] 	[] 	[20]
54   20    50    335    428    90     [] 	[] 	[10]
55   20    55    422    531    90     [] 	[] 	[10]
56   10    35    181    256    90     [] 	[] 	[20]
57   10    40    31     170    90     [] 	[] 	[30]
58   8     40    52     193    90     [] 	[] 	[40]
59   8     45    719    848    90     [] 	[] 	[20]
60   5     35    252    375    90     [] 	[] 	[10]
61   5     45    639    742    90     [] 	[] 	[10]
62   2     40    357    460    90     [] 	[] 	[20]
63   0     40    457    544    90     [] 	[] 	[30]
64   0     45    538    653    90     [] 	[] 	[20]
