RC105.100

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      0       0       1

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      240    0      [] 	[] 	[]
1    40    50    0      240    0      [] 	[] 	[200]
2    40    50    0      240    0      [] 	[] 	[200]
3    40    50    0      240    0      [] 	[] 	[200]
4    40    50    0      240    0      [] 	[] 	[200]
5    40    50    0      240    0      [] 	[] 	[200]
6    40    50    0      240    0      [] 	[] 	[200]
7    40    50    0      240    0      [] 	[] 	[200]
8    40    50    0      240    0      [] 	[] 	[200]
9    40    50    0      240    0      [] 	[] 	[200]
10   40    50    0      240    0      [] 	[] 	[200]
11   40    50    0      240    0      [] 	[] 	[200]
12   40    50    0      240    0      [] 	[] 	[200]
13   40    50    0      240    0      [] 	[] 	[200]
14   40    50    0      240    0      [] 	[] 	[200]
15   40    50    0      240    0      [] 	[] 	[200]
16   40    50    0      240    0      [] 	[] 	[200]
17   40    50    0      240    0      [] 	[] 	[200]
18   40    50    0      240    0      [] 	[] 	[200]
19   40    50    0      240    0      [] 	[] 	[200]
20   40    50    0      240    0      [] 	[] 	[200]
21   40    50    0      240    0      [] 	[] 	[200]
22   40    50    0      240    0      [] 	[] 	[200]
23   40    50    0      240    0      [] 	[] 	[200]
24   40    50    0      240    0      [] 	[] 	[200]
25   40    50    0      240    0      [] 	[] 	[200]
26   25    85    71     191    10     [] 	[] 	[20]
27   22    75    30     150    10     [] 	[] 	[30]
28   22    85    64     184    10     [] 	[] 	[10]
29   20    80    151    161    10     [] 	[] 	[40]
30   20    85    40     160    10     [] 	[] 	[20]
31   18    75    96     123    10     [] 	[] 	[20]
32   15    75    35     155    10     [] 	[] 	[20]
33   15    80    101    111    10     [] 	[] 	[10]
34   10    35    101    111    10     [] 	[] 	[20]
35   10    40    123    144    10     [] 	[] 	[30]
36   8     40    69     79     10     [] 	[] 	[40]
37   8     45    32     152    10     [] 	[] 	[20]
38   5     35    152    162    10     [] 	[] 	[10]
39   5     45    35     117    10     [] 	[] 	[10]
40   2     40    68     78     10     [] 	[] 	[20]
41   0     40    59     114    10     [] 	[] 	[20]
42   0     45    147    180    10     [] 	[] 	[20]
43   44    5     79     124    10     [] 	[] 	[20]
44   42    10    58     115    10     [] 	[] 	[40]
45   42    15    111    162    10     [] 	[] 	[10]
46   40    5     45     165    10     [] 	[] 	[10]
47   40    15    94     119    10     [] 	[] 	[40]
48   38    5     75     85     10     [] 	[] 	[30]
49   38    15    128    194    10     [] 	[] 	[10]
50   35    5     171    181    10     [] 	[] 	[20]
51   95    30    58     171    10     [] 	[] 	[30]
52   95    35    60     93     10     [] 	[] 	[20]
53   92    30    55     120    10     [] 	[] 	[10]
54   90    35    52     112    10     [] 	[] 	[10]
55   88    30    75     102    10     [] 	[] 	[10]
56   88    35    50     170    10     [] 	[] 	[20]
57   87    30    116    175    10     [] 	[] 	[10]
58   85    25    51     85     10     [] 	[] 	[10]
59   85    35    62     182    10     [] 	[] 	[30]
60   67    85    138    169    10     [] 	[] 	[20]
61   65    85    43     78     10     [] 	[] 	[40]
62   65    82    69     189    10     [] 	[] 	[10]
63   62    80    85     95     10     [] 	[] 	[30]
64   60    80    36     74     10     [] 	[] 	[10]
65   60    85    87     112    10     [] 	[] 	[30]
66   58    75    92     121    10     [] 	[] 	[20]
67   55    80    33     66     10     [] 	[] 	[10]
68   55    85    117    168    10     [] 	[] 	[20]
69   55    82    74     84     10     [] 	[] 	[10]
70   20    82    37     72     10     [] 	[] 	[10]
71   18    80    98     157    10     [] 	[] 	[10]
72   2     45    38     109    10     [] 	[] 	[10]
73   42    5     64     184    10     [] 	[] 	[10]
74   42    12    109    128    10     [] 	[] 	[10]
75   72    35    71     191    10     [] 	[] 	[30]
76   55    20    69     126    10     [] 	[] 	[19]
77   25    30    25     145    10     [] 	[] 	[3]
78   20    50    101    111    10     [] 	[] 	[5]
79   55    60    127    180    10     [] 	[] 	[16]
80   30    60    150    160    10     [] 	[] 	[16]
81   50    35    130    159    10     [] 	[] 	[19]
82   30    25    82     139    10     [] 	[] 	[23]
83   15    10    172    182    10     [] 	[] 	[20]
84   10    20    42     162    10     [] 	[] 	[19]
85   15    60    137    202    10     [] 	[] 	[17]
86   45    65    55     106    10     [] 	[] 	[9]
87   65    35    62     72     10     [] 	[] 	[3]
88   65    20    39     108    10     [] 	[] 	[6]
89   45    30    53     82     10     [] 	[] 	[17]
90   35    40    11     43     10     [] 	[] 	[16]
91   41    37    134    161    10     [] 	[] 	[16]
92   64    42    80     90     10     [] 	[] 	[9]
93   40    60    144    173    10     [] 	[] 	[21]
94   31    52    51     61     10     [] 	[] 	[27]
95   35    69    172    210    10     [] 	[] 	[23]
96   65    55    52     107    10     [] 	[] 	[14]
97   63    65    27     147    10     [] 	[] 	[8]
98   2     60    65     118    10     [] 	[] 	[5]
99   20    20    151    161    10     [] 	[] 	[8]
