C206.100_13-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
13      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      3390   0      [] 	[] 	[]
1    53    80    0      3390   0      [0,1,2,3] 	[0,2,3,4] 	[2,0,4,2,0]
2    12    5     0      3390   0      [1,2,3,4] 	[2,3] 	[4,2,2,3,0]
3    11    79    0      3390   0      [1,2] 	[0,2,3] 	[4,0,4,3,0]
4    39    83    0      3390   0      [1,2,3] 	[0,2,3] 	[3,0,2,3,0]
5    66    9     0      3390   0      [2,3] 	[0,2] 	[3,0,2,0,0]
6    71    59    0      3390   0      [0,1,3] 	[0,2,4] 	[2,0,0,4,0]
7    68    50    0      3390   0      [0,2] 	[0,3,4] 	[5,0,4,0,0]
8    24    77    0      3390   0      [0,1,4] 	[1,2,3,4] 	[4,2,0,2,0]
9    87    77    0      3390   0      [0,1,3] 	[0,2] 	[2,0,0,3,0]
10   53    37    0      3390   0      [1,4] 	[] 	[0,3,0,5,0]
11   29    10    0      3390   0      [3,4] 	[] 	[5,2,0,0,0]
12   54    91    0      3390   0      [0,1] 	[2,4] 	[5,0,0,2,0]
13   50    25    0      3390   0      [0,4] 	[0,1,4] 	[3,2,0,0,0]
14   52    75    213    568    90     [1] 	[3] 	[1,0,0,1,0]
15   45    70    22     563    90     [3] 	[0] 	[0,0,0,0,0]
16   62    69    1030   1463   90     [2] 	[] 	[0,0,0,0,0]
17   60    66    1154   1527   90     [1] 	[] 	[0,0,0,0,0]
18   42    65    15     402    90     [1] 	[2,3] 	[0,0,0,1,0]
19   16    42    331    822    90     [2] 	[0,3] 	[0,0,1,0,0]
20   58    70    965    1340   90     [0] 	[0] 	[0,0,0,0,0]
21   34    60    2653   3280   90     [3] 	[0,2] 	[1,0,0,0,0]
22   28    70    2385   2976   90     [4] 	[1,4] 	[0,1,0,0,0]
23   35    66    2628   3113   90     [1] 	[] 	[0,0,0,0,0]
24   35    69    2603   2952   90     [1] 	[2,3] 	[0,0,0,0,0]
25   25    85    1985   2412   90     [0] 	[0,4] 	[1,0,0,0,0]
26   22    75    2310   2659   90     [4] 	[1] 	[0,0,0,0,0]
27   22    85    1846   2365   90     [0] 	[] 	[0,0,0,0,0]
28   20    80    2077   2514   90     [0] 	[0] 	[0,0,0,0,0]
29   20    85    1763   2264   90     [4] 	[1,4] 	[0,1,0,0,0]
30   18    75    2143   2638   90     [4] 	[1,4] 	[0,1,0,0,0]
31   15    75    1560   2083   90     [3] 	[0] 	[0,0,0,0,0]
32   15    80    1689   2144   90     [2] 	[3] 	[0,0,1,0,0]
33   30    50    10     645    90     [1] 	[2,3] 	[1,0,0,1,0]
34   30    56    2675   3288   90     [0] 	[0,4] 	[1,0,0,0,0]
35   28    52    12     505    90     [1] 	[3] 	[0,0,0,0,0]
36   14    66    1519   1926   90     [0] 	[0] 	[0,0,0,0,0]
37   25    50    23     368    90     [3] 	[0,2] 	[1,0,0,0,0]
38   22    66    2380   2787   90     [3] 	[] 	[1,0,0,0,0]
39   8     62    1330   1919   90     [1] 	[2,3] 	[0,0,0,1,0]
