RC208.100_13-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
13      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      960    0      [] 	[] 	[]
1    33    57    0      960    0      [0,1,3,4] 	[] 	[0,2,0,2,0]
2    54    36    0      960    0      [1,2,3] 	[1,3,4] 	[3,0,2,4,0]
3    79    63    0      960    0      [1,2,3] 	[1,3] 	[2,0,5,2,0]
4    80    45    0      960    0      [0,4] 	[0,3,4] 	[0,5,0,5,0]
5    90    48    0      960    0      [1,4] 	[0,1,2] 	[0,0,3,5,0]
6    31    52    0      960    0      [0,1,4] 	[2,4] 	[0,3,0,5,0]
7    70    2     0      960    0      [0,1] 	[0,2,4] 	[0,0,3,4,0]
8    81    80    0      960    0      [3,4] 	[0] 	[5,3,0,3,0]
9    63    34    0      960    0      [0,1,2,4] 	[0,1,2] 	[0,5,3,0,0]
10   24    48    0      960    0      [0,2,3,4] 	[0,2,3,4] 	[5,2,0,5,0]
11   70    64    0      960    0      [0,2,4] 	[0,2,3,4] 	[0,2,0,3,0]
12   88    90    0      960    0      [0,4] 	[0,3,4] 	[0,3,0,5,0]
13   17    2     0      960    0      [0,1] 	[0,1,2,4] 	[0,0,2,3,0]
14   25    85    388    911    10     [4] 	[3] 	[0,1,0,0,0]
15   22    75    30     546    10     [2] 	[] 	[0,0,0,1,0]
16   22    85    353    708    10     [0] 	[4] 	[0,0,0,1,0]
17   20    80    425    913    10     [4] 	[0,3] 	[0,1,0,0,0]
18   20    85    40     630    10     [2] 	[] 	[0,0,0,1,0]
19   18    75    228    667    10     [1] 	[0] 	[0,0,1,0,0]
20   15    75    161    558    10     [4] 	[0] 	[0,0,0,0,0]
21   15    80    229    624    10     [0] 	[0,4] 	[0,0,0,1,0]
22   10    35    213    648    10     [2] 	[3] 	[0,0,0,0,0]
23   10    40    404    753    10     [4] 	[0,3] 	[0,1,0,1,0]
24   8     40    33     511    10     [2] 	[2,3] 	[0,0,0,0,0]
25   8     45    46     519    10     [1] 	[] 	[0,0,1,0,0]
