R103.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      230    0      [] 	[] 	[]
1    61    3     0      230    0      [0,1,2,3] 	[0] 	[3,0,2,3,0]
2    34    22    0      230    0      [3,4] 	[0,1,2,3] 	[0,4,0,5,0]
3    15    75    0      230    0      [0,1,3,4] 	[1,2,4] 	[3,0,2,3,0]
4    0     85    0      230    0      [3,4] 	[] 	[4,0,0,3,0]
5    2     18    0      230    0      [0,2,3,4] 	[1,2] 	[4,0,0,3,0]
6    75    39    0      230    0      [3,4] 	[1,3] 	[4,2,0,0,0]
7    65    15    0      230    0      [1,3,4] 	[] 	[4,2,4,2,0]
8    51    52    0      230    0      [0,2] 	[0,2,3,4] 	[4,0,0,2,0]
9    22    57    0      230    0      [0,1,2,4] 	[0,1,2,3] 	[3,0,0,2,0]
10   41    63    0      230    0      [1,2,3] 	[0,1,2,3,4] 	[5,0,0,3,0]
11   67    13    0      230    0      [0,2,3,4] 	[0,2,3,4] 	[2,4,0,2,0]
12   64    67    0      230    0      [0,1,3,4] 	[0,1,2,3,4] 	[5,4,2,4,0]
13   41    71    0      230    0      [0,2,3] 	[0,1,2,3,4] 	[3,0,0,4,0]
14   30    51    0      230    0      [0,1,3] 	[0,2,3,4] 	[4,0,4,2,0]
15   55    77    0      230    0      [0,2,4] 	[1,3] 	[4,4,0,3,0]
16   3     12    0      230    0      [0,1,2,4] 	[0,1,2,3,4] 	[2,5,5,5,0]
17   12    80    0      230    0      [0,4] 	[2] 	[0,2,0,2,0]
18   41    16    0      230    0      [0,3,4] 	[0] 	[5,4,0,4,0]
19   78    68    0      230    0      [1,2,3] 	[0,1,3,4] 	[2,0,2,3,0]
20   48    27    0      230    0      [1,3,4] 	[0,1,2,3,4] 	[2,4,3,2,0]
21   89    72    0      230    0      [0,1,3,4] 	[] 	[2,0,0,3,0]
22   90    65    0      230    0      [0,2,3,4] 	[1,3,4] 	[3,4,0,4,0]
23   81    20    0      230    0      [0,1,3,4] 	[4] 	[2,4,3,0,0]
24   73    27    0      230    0      [1,3,4] 	[] 	[2,0,5,5,0]
25   84    74    0      230    0      [0,2] 	[0,2,3,4] 	[4,0,0,2,0]
26   41    49    0      204    10     [3] 	[1,2] 	[0,0,0,1,0]
27   35    17    0      202    10     [4] 	[0,1] 	[0,1,0,0,0]
28   55    45    0      197    10     [4] 	[0] 	[0,0,0,0,0]
29   55    20    149    159    10     [4] 	[1] 	[0,1,0,1,0]
30   15    30    0      199    10     [0] 	[3] 	[0,0,0,0,0]
31   25    30    99     109    10     [3] 	[2,3] 	[1,0,0,0,0]
32   20    50    0      198    10     [1] 	[] 	[0,0,0,0,0]
33   10    43    95     105    10     [1] 	[1] 	[0,0,1,0,0]
34   55    60    97     107    10     [4] 	[] 	[0,0,0,0,0]
35   30    60    124    134    10     [4] 	[0,1] 	[0,1,0,1,0]
36   20    65    67     77     10     [3] 	[3] 	[1,0,0,1,0]
37   50    35    0      205    10     [2] 	[0] 	[0,0,0,0,0]
38   30    25    159    169    10     [0] 	[2,3] 	[0,0,0,1,0]
39   15    10    0      187    10     [0] 	[2,3] 	[0,0,0,1,0]
40   30    5     61     71     10     [4] 	[0,1] 	[0,0,0,0,0]
41   10    20    0      190    10     [4] 	[1] 	[0,0,0,0,0]
42   5     30    157    167    10     [2] 	[0,4] 	[0,0,0,0,0]
43   20    40    0      204    10     [4] 	[] 	[0,0,0,1,0]
44   15    60    0      187    10     [2] 	[] 	[1,0,0,0,0]
45   45    65    0      188    10     [2] 	[0,4] 	[1,0,0,0,0]
46   45    20    0      201    10     [3] 	[2] 	[1,0,0,1,0]
47   45    10    97     107    10     [3] 	[2,3] 	[0,0,0,1,0]
48   55    5     68     78     10     [0] 	[] 	[0,0,0,1,0]
49   65    35    0      190    10     [4] 	[] 	[0,0,0,1,0]
50   65    20    172    182    10     [1] 	[4] 	[0,0,0,0,0]
51   45    30    0      208    10     [1] 	[1] 	[0,0,1,0,0]
52   35    40    37     47     10     [2] 	[0] 	[0,0,0,0,0]
53   41    37    0      213    10     [1] 	[4] 	[0,0,1,0,0]
54   64    42    0      190    10     [1] 	[] 	[0,0,1,0,0]
55   40    60    71     81     10     [2] 	[0,4] 	[1,0,0,0,0]
56   31    52    0      202    10     [3] 	[1] 	[0,0,0,1,0]
57   35    69    0      186    10     [2] 	[0,4] 	[0,0,0,0,0]
58   53    52    37     47     10     [4] 	[1] 	[0,1,0,1,0]
59   65    55    0      183    10     [0] 	[2,3] 	[0,0,0,0,0]
60   63    65    143    153    10     [0] 	[] 	[0,0,0,1,0]
61   2     60    41     51     10     [3] 	[1,3] 	[0,0,0,1,0]
62   20    20    0      198    10     [3] 	[] 	[0,0,0,0,0]
63   5     5     83     93     10     [2] 	[] 	[0,0,0,0,0]
64   60    12    44     54     10     [2] 	[0] 	[1,0,0,0,0]
65   40    25    85     95     10     [3] 	[2,3] 	[1,0,0,1,0]
66   42    7     97     107    10     [2] 	[0,4] 	[1,0,0,0,0]
67   24    12    31     41     10     [4] 	[0,1] 	[0,0,0,1,0]
68   23    3     0      185    10     [3] 	[1,2] 	[0,0,0,0,0]
69   11    14    69     79     10     [2] 	[4] 	[1,0,0,0,0]
70   6     38    32     42     10     [2] 	[] 	[1,0,0,0,0]
71   2     48    0      184    10     [2] 	[] 	[0,0,0,0,0]
72   8     56    0      185    10     [4] 	[] 	[0,1,0,1,0]
73   13    52    0      192    10     [2] 	[0] 	[0,0,0,0,0]
74   6     68    108    118    10     [0] 	[3] 	[0,0,0,1,0]
75   47    47    0      203    10     [4] 	[0] 	[0,1,0,0,0]
76   49    58    0      193    10     [0] 	[2,3] 	[0,0,0,0,0]
77   27    43    0      208    10     [1] 	[1] 	[0,0,0,0,0]
78   37    31    95     105    10     [3] 	[] 	[1,0,0,0,0]
79   57    29    0      197    10     [4] 	[0,1] 	[0,0,0,0,0]
80   63    23    136    146    10     [2] 	[0,4] 	[0,0,0,0,0]
81   53    12    130    140    10     [4] 	[] 	[0,0,0,0,0]
82   32    12    0      196    10     [4] 	[1] 	[0,0,0,0,0]
83   36    26    200    210    10     [1] 	[] 	[0,0,1,0,0]
84   21    24    0      202    10     [2] 	[] 	[1,0,0,0,0]
85   17    34    0      201    10     [2] 	[4] 	[0,0,0,0,0]
86   12    24    0      194    10     [1] 	[4] 	[0,0,1,0,0]
87   24    58    58     68     10     [4] 	[] 	[0,1,0,0,0]
88   27    69    0      185    10     [0] 	[] 	[0,0,0,1,0]
89   15    77    73     83     10     [4] 	[] 	[0,0,0,0,0]
90   62    77    51     61     10     [3] 	[] 	[1,0,0,1,0]
91   49    73    127    137    10     [0] 	[] 	[0,0,0,1,0]
92   67    5     83     93     10     [4] 	[0] 	[0,0,0,1,0]
93   56    39    142    152    10     [3] 	[1,2] 	[0,0,0,0,0]
94   37    47    50     60     10     [2] 	[0,4] 	[0,0,0,0,0]
95   37    56    182    192    10     [1] 	[] 	[0,0,1,0,0]
96   57    68    0      180    10     [3] 	[] 	[1,0,0,0,0]
97   47    16    0      197    10     [2] 	[4] 	[0,0,0,0,0]
98   44    17    0      199    10     [4] 	[1] 	[0,0,0,1,0]
99   46    13    149    159    10     [2] 	[0,4] 	[1,0,0,0,0]
100  49    11    0      192    10     [2] 	[0] 	[1,0,0,0,0]
101  49    42    73     83     10     [3] 	[2] 	[0,0,0,0,0]
102  53    43    179    189    10     [1] 	[1] 	[0,0,1,0,0]
103  61    52    96     106    10     [3] 	[] 	[0,0,0,0,0]
104  57    48    92     102    10     [2] 	[4] 	[1,0,0,0,0]
105  56    37    182    192    10     [3] 	[] 	[0,0,0,0,0]
106  55    54    0      192    10     [0] 	[2,3] 	[0,0,0,0,0]
107  15    47    0      196    10     [4] 	[0,1] 	[0,1,0,1,0]
108  14    37    0      198    10     [3] 	[1,3] 	[0,0,0,0,0]
109  11    31    101    111    10     [2] 	[0,4] 	[0,0,0,0,0]
110  16    22    0      196    10     [0] 	[2,3] 	[0,0,0,1,0]
111  4     18    0      184    10     [4] 	[] 	[0,0,0,0,0]
112  28    18    93     103    10     [2] 	[] 	[1,0,0,0,0]
113  26    52    74     84     10     [2] 	[0,4] 	[1,0,0,0,0]
114  26    35    0      211    10     [3] 	[1,3] 	[1,0,0,1,0]
115  31    67    0      187    10     [2] 	[] 	[1,0,0,0,0]
116  15    19    0      194    10     [0] 	[] 	[0,0,0,1,0]
117  22    22    18     28     10     [2] 	[] 	[1,0,0,0,0]
118  18    24    188    198    10     [3] 	[2,3] 	[0,0,0,0,0]
119  26    27    0      207    10     [2] 	[] 	[1,0,0,0,0]
120  25    24    0      205    10     [0] 	[] 	[0,0,0,1,0]
121  22    27    0      204    10     [1] 	[0] 	[0,0,1,0,0]
122  25    21    0      202    10     [2] 	[] 	[1,0,0,0,0]
123  19    21    0      198    10     [1] 	[] 	[0,0,1,0,0]
124  20    26    83     93     10     [0] 	[] 	[0,0,0,1,0]
125  18    18    185    195    10     [2] 	[] 	[1,0,0,0,0]
