R208.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      1000   0      [] 	[] 	[]
1    24    53    0      1000   0      [1,2,3] 	[0,2,3,4] 	[0,5,0,4,5]
2    36    79    0      1000   0      [0,2,4] 	[0,3] 	[2,5,0,5,0]
3    36    26    0      1000   0      [0,1,3,4] 	[0,1,4] 	[2,2,0,5,5]
4    53    93    0      1000   0      [2,3] 	[0,3,4] 	[0,4,0,2,0]
5    60    26    0      1000   0      [1,2] 	[0,2,3] 	[0,4,0,0,2]
6    93    29    0      1000   0      [1,3,4] 	[] 	[5,2,0,4,3]
7    90    36    0      1000   0      [3,4] 	[1] 	[3,0,0,2,0]
8    3     56    0      1000   0      [1,3,4] 	[0,2,4] 	[5,3,0,5,4]
9    62    30    0      1000   0      [0,1,2,4] 	[1,3,4] 	[0,5,0,5,4]
10   17    53    0      1000   0      [0,1,2] 	[0,1,3] 	[5,3,0,3,5]
11   4     58    0      1000   0      [0,1,3] 	[2] 	[2,3,0,2,2]
12   48    24    0      1000   0      [0,1,2,4] 	[0,1,2,4] 	[2,0,0,0,3]
13   63    36    0      1000   0      [1,2,3,4] 	[0,1,2,3,4] 	[2,0,0,5,3]
14   61    38    0      1000   0      [0,2,3,4] 	[0,1,2,3,4] 	[2,4,0,5,0]
15   49    67    0      1000   0      [1,4] 	[0,1] 	[4,3,0,0,4]
16   27    44    0      1000   0      [0,1,3] 	[0,1,2,4] 	[0,2,0,0,5]
17   83    22    0      1000   0      [1,2,3,4] 	[] 	[5,0,0,0,3]
18   29    41    0      1000   0      [0,2,4] 	[0] 	[3,5,0,3,0]
19   20    67    0      1000   0      [0,2,3] 	[1] 	[2,2,0,3,0]
20   93    99    0      1000   0      [2,4] 	[0] 	[2,3,0,0,0]
21   2     49    0      1000   0      [1,3] 	[2] 	[0,2,0,2,0]
22   27    2     0      1000   0      [1,3,4] 	[1] 	[2,3,0,3,3]
23   56    50    0      1000   0      [2,3,4] 	[0,1,2,3] 	[0,3,0,3,0]
24   9     29    0      1000   0      [0,1,4] 	[0,1,2,3] 	[2,5,0,3,3]
25   81    91    0      1000   0      [0,3,4] 	[] 	[3,0,0,3,0]
26   41    49    0      974    10     [2] 	[0] 	[0,0,0,0,0]
27   35    17    0      972    10     [1] 	[2] 	[0,1,0,0,1]
28   55    45    0      967    10     [1] 	[] 	[0,0,0,0,1]
29   55    20    620    860    10     [1] 	[0,2] 	[0,1,0,0,1]
30   15    30    0      969    10     [1] 	[2] 	[0,1,0,0,0]
31   25    30    0      978    10     [0] 	[4] 	[0,0,0,0,0]
32   20    50    0      968    10     [4] 	[] 	[1,0,0,0,0]
33   10    43    323    563    10     [3] 	[4] 	[0,0,0,1,0]
34   55    60    329    569    10     [2] 	[] 	[0,1,0,0,0]
35   30    60    0      964    10     [1] 	[2] 	[0,0,0,0,0]
36   20    65    146    386    10     [4] 	[1] 	[1,0,0,0,0]
37   50    35    0      975    10     [0] 	[1,4] 	[0,0,0,1,0]
38   30    25    639    879    10     [4] 	[2] 	[0,0,0,0,0]
39   15    10    0      957    10     [0] 	[1,4] 	[1,0,0,1,0]
40   30    5     118    358    10     [2] 	[0] 	[0,1,0,0,0]
41   10    20    0      960    10     [2] 	[] 	[0,1,0,0,0]
42   5     30    0      959    10     [0] 	[1] 	[1,0,0,0,0]
43   20    40    0      974    10     [1] 	[2] 	[0,1,0,0,1]
44   15    60    0      957    10     [3] 	[4] 	[0,0,0,1,0]
45   45    65    0      958    10     [3] 	[0,4] 	[0,0,0,1,0]
