RC203.100_4-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       0

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      960    0      [] 	[] 	[]
1    39    32    0      960    0      [2,4] 	[] 	[0,0,5,3,5]
2    25    94    0      960    0      [1,2,4] 	[3] 	[0,3,5,2,4]
3    56    30    0      960    0      [1,4] 	[4] 	[0,5,5,4,0]
4    91    46    0      960    0      [0,2] 	[0,4] 	[0,0,3,0,3]
5    54    86    0      960    0      [2,3,4] 	[0,2,3] 	[5,0,3,4,4]
6    36    24    0      960    0      [1,3,4] 	[0,1,3] 	[2,4,2,4,0]
7    49    99    0      960    0      [3,4] 	[0,1,3,4] 	[4,0,2,5,0]
8    94    7     0      960    0      [1,2,3,4] 	[1,2] 	[0,3,0,0,2]
9    32    41    0      960    0      [0,2] 	[3] 	[0,0,5,0,2]
10   88    66    0      960    0      [0,1,3] 	[0,1,3] 	[4,3,3,0,0]
11   23    39    0      960    0      [0,2,3,4] 	[0,2,3,4] 	[5,0,5,4,5]
12   98    85    0      960    0      [1,2,4] 	[0,1,2] 	[0,3,0,2,0]
13   68    34    0      960    0      [1,2] 	[0,2,3] 	[0,3,5,0,0]
14   50    10    0      960    0      [0,1,2,3] 	[] 	[5,4,4,0,5]
15   43    53    0      960    0      [0,3] 	[0,1,4] 	[4,0,4,0,0]
16   91    10    0      960    0      [0,1] 	[0,3,4] 	[0,3,3,0,0]
17   82    34    0      960    0      [0,2,4] 	[3] 	[0,0,3,3,4]
18   88    36    0      960    0      [0,1,2,3] 	[0,1,4] 	[4,5,3,0,5]
19   54    38    0      960    0      [0,1,3,4] 	[0,1,3,4] 	[3,4,2,4,0]
20   10    51    0      960    0      [0,2,4] 	[1,3,4] 	[0,0,5,0,4]
21   59    61    0      960    0      [2,3,4] 	[] 	[4,0,4,5,2]
22   40    38    0      960    0      [2,3,4] 	[0,1,2,3,4] 	[5,0,2,0,5]
