# Instance C107.100_25-5-5-5 - 30 dynamic requests - 70 static requests
Dyn   Stat
30    70
ID    RD
26    -1
27    -1
29    -1
30    -1
32    -1
35    -1
36    -1
37    -1
38    -1
39    -1
40    -1
41    -1
43    -1
44    -1
46    -1
48    -1
49    -1
50    -1
51    -1
52    -1
53    -1
56    -1
58    -1
59    -1
60    -1
62    -1
63    -1
65    -1
66    -1
67    -1
68    -1
70    -1
71    -1
72    -1
73    -1
74    -1
75    -1
76    -1
77    -1
78    -1
80    -1
82    -1
83    -1
84    -1
85    -1
86    -1
87    -1
92    -1
94    -1
95    -1
99    -1
100   -1
101   -1
102   -1
103   -1
104   -1
107   -1
108   -1
111   -1
112   -1
113   -1
114   -1
115   -1
116   -1
118   -1
119   -1
121   -1
122   -1
124   -1
125   -1
28    14
31    286
33    195
34    303
42    11
45    9
47    227
54    287
55    55
57    28
61    459
64    100
69    71
79    101
81    151
88    26
89    393
90    4
91    682
93    525
96    110
97    58
98    55
105   492
106   22
109   23
110   474
117   68
120   126
123   4
