# Instance R207.100_25-5-5-5 - 70 dynamic requests - 30 static requests
Dyn   Stat
70    30
ID    RD
30    -1
36    -1
38    -1
41    -1
43    -1
45    -1
49    -1
52    -1
53    -1
62    -1
63    -1
67    -1
70    -1
76    -1
81    -1
83    -1
85    -1
91    -1
95    -1
96    -1
99    -1
100   -1
104   -1
111   -1
113   -1
115   -1
117   -1
119   -1
121   -1
124   -1
26    0
27    0
28    0
29    492
31    312
32    0
33    89
34    262
35    419
37    0
39    0
40    14
42    347
44    0
46    0
47    81
48    9
50    544
51    0
54    0
55    136
56    0
57    0
58    0
59    0
60    538
61    23
64    32
65    215
66    130
68    0
69    151
71    0
72    0
73    0
74    198
75    0
77    0
78    93
79    0
80    207
82    0
84    0
86    0
87    54
88    0
89    129
90    35
92    59
93    64
94    39
97    0
98    0
101   106
102   500
103   256
105   98
106   0
107   0
108   0
109   157
110   0
112   59
114   0
116   0
118   220
120   0
122   0
123   0
125   694
