C101.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      1236   0      [] 	[] 	[]
1    9     6     0      1236   0      [1,3,4] 	[1,2,3] 	[3,0,4,4,0]
2    77    88    0      1236   0      [2,3,4] 	[1,2,3] 	[5,0,0,5,0]
3    13    5     0      1236   0      [0,1,3,4] 	[0,2] 	[3,5,3,2,3]
4    23    24    0      1236   0      [0,1,2,3] 	[] 	[2,5,2,3,0]
5    90    17    0      1236   0      [0,1] 	[1] 	[2,2,0,0,4]
6    11    7     0      1236   0      [0,2] 	[1] 	[5,2,3,0,4]
7    93    76    0      1236   0      [0,1,2,4] 	[0] 	[0,0,3,0,2]
8    27    54    0      1236   0      [0,1,3,4] 	[0,1,2,3] 	[0,5,4,4,0]
9    51    19    0      1236   0      [1,2,3,4] 	[1,2,3] 	[0,2,5,0,0]
10   16    73    0      1236   0      [0,1,2] 	[2] 	[3,2,3,0,5]
11   4     88    0      1236   0      [0,2,4] 	[1,2,3] 	[4,4,3,0,5]
12   23    7     0      1236   0      [0,3,4] 	[0,1] 	[0,0,3,0,4]
13   45    14    0      1236   0      [1,2,3,4] 	[] 	[4,3,2,0,0]
14   38    54    0      1236   0      [0,1,3,4] 	[] 	[3,0,0,0,2]
15   72    89    0      1236   0      [1,2,3,4] 	[1,2,3] 	[3,0,5,4,0]
16   8     91    0      1236   0      [2,3,4] 	[1,2,3] 	[3,0,5,0,0]
17   95    96    0      1236   0      [0,1,2,4] 	[1] 	[2,5,5,0,0]
18   57    29    0      1236   0      [0,2,3] 	[1] 	[4,0,2,4,5]
19   99    13    0      1236   0      [0,2,4] 	[1,2] 	[3,2,0,0,3]
20   85    30    0      1236   0      [0,2,3] 	[0,1,2,3] 	[0,2,3,0,3]
21   54    49    0      1236   0      [0,2,3,4] 	[0,1,2,3] 	[0,3,3,0,4]
22   82    100   0      1236   0      [0,2,3,4] 	[] 	[2,5,0,3,0]
23   77    27    0      1236   0      [2,3,4] 	[] 	[4,0,0,3,0]
24   91    19    0      1236   0      [0,2] 	[0,1,2,3] 	[2,5,4,0,2]
25   89    14    0      1236   0      [1,2] 	[1,2,3] 	[5,4,5,0,0]
26   45    68    912    967    90     [4] 	[] 	[1,0,1,0,0]
27   45    70    825    870    90     [1] 	[3] 	[0,0,0,0,0]
28   42    66    65     146    90     [4] 	[1] 	[0,0,1,0,0]
29   42    68    727    782    90     [1] 	[2,3] 	[1,0,0,0,0]
30   42    65    15     67     90     [4] 	[1,3] 	[0,0,0,0,0]
31   40    69    621    702    90     [0] 	[3] 	[0,1,0,0,1]
32   40    66    170    225    90     [3] 	[] 	[0,0,1,0,0]
33   38    68    255    324    90     [4] 	[2] 	[0,0,1,0,0]
34   38    70    534    605    90     [2] 	[] 	[1,0,1,0,0]
35   35    66    357    410    90     [2] 	[] 	[0,0,1,0,0]
36   35    69    448    505    90     [3] 	[] 	[0,0,0,1,0]
37   25    85    652    721    90     [1] 	[2] 	[1,1,0,0,0]
38   22    75    30     92     90     [3] 	[3] 	[0,0,0,1,0]
39   22    85    567    620    90     [1] 	[2,3] 	[1,1,0,0,0]
40   20    80    384    429    90     [2] 	[3] 	[0,0,0,0,0]
41   20    85    475    528    90     [0] 	[2] 	[0,0,0,0,0]
42   18    75    99     148    90     [0] 	[0,2] 	[0,0,0,0,0]
43   15    75    179    254    90     [0] 	[0,3] 	[0,0,0,0,0]
44   15    80    278    345    90     [0] 	[] 	[0,1,0,0,0]
45   30    50    10     73     90     [0] 	[2,3] 	[0,0,0,0,0]
46   30    52    914    965    90     [3] 	[] 	[0,0,0,1,0]
47   28    52    812    883    90     [2] 	[1,3] 	[1,0,1,0,0]
48   28    55    732    777    90     [4] 	[1,3] 	[1,0,0,0,0]
49   25    50    65     144    90     [1] 	[3] 	[1,0,0,0,0]
50   25    52    169    224    90     [1] 	[1,3] 	[1,1,0,0,0]
51   25    55    622    701    90     [2] 	[1,3] 	[1,0,0,0,0]
52   23    52    261    316    90     [2] 	[1,3] 	[0,0,0,0,0]
53   23    55    546    593    90     [0] 	[0,2] 	[0,1,0,0,1]
54   20    50    358    405    90     [3] 	[3] 	[0,0,0,0,0]
55   20    55    449    504    90     [3] 	[1,3] 	[0,0,1,0,0]
56   10    35    200    237    90     [2] 	[] 	[0,0,1,0,0]
57   10    40    31     100    90     [3] 	[] 	[0,0,1,1,0]
58   8     40    87     158    90     [0] 	[] 	[0,1,0,0,1]
59   8     45    751    816    90     [0] 	[] 	[0,0,0,0,0]
60   5     35    283    344    90     [2] 	[1,3] 	[0,0,1,0,0]
61   5     45    665    716    90     [2] 	[3] 	[1,0,1,0,0]
62   2     40    383    434    90     [3] 	[1,3] 	[0,0,1,1,0]
63   0     40    479    522    90     [0] 	[] 	[0,1,0,0,1]
64   0     45    567    624    90     [2] 	[] 	[0,0,1,0,0]
65   35    30    264    321    90     [2] 	[3] 	[0,0,0,0,0]
66   35    32    166    235    90     [0] 	[] 	[0,1,0,0,1]
67   33    32    68     149    90     [3] 	[1,3] 	[0,0,0,1,0]
68   33    35    16     80     90     [2] 	[1,3] 	[1,0,0,0,0]
69   32    30    359    412    90     [2] 	[] 	[0,0,0,0,0]
70   30    30    541    600    90     [3] 	[1,3] 	[0,0,1,0,0]
71   30    32    448    509    90     [1] 	[1,2] 	[1,1,0,0,0]
72   30    35    1054   1127   90     [4] 	[1] 	[1,0,1,0,0]
73   28    30    632    693    90     [1] 	[2] 	[0,0,0,0,0]
74   28    35    1001   1066   90     [0] 	[2] 	[0,0,0,0,1]
75   26    32    815    880    90     [3] 	[1] 	[0,0,1,1,0]
76   25    30    725    786    90     [0] 	[] 	[0,0,0,0,0]
