R101.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      230    0      [] 	[] 	[]
1    67    8     0      230    0      [0,1,2,4] 	[0,2,3] 	[3,0,5,4,3]
2    52    28    0      230    0      [1,2,3] 	[] 	[2,4,2,0,5]
3    19    36    0      230    0      [0,1,3,4] 	[1,2,3] 	[0,3,0,2,0]
4    27    16    0      230    0      [1,2,3] 	[] 	[4,0,4,5,0]
5    16    44    0      230    0      [0,1,2,4] 	[0,1,2,4] 	[2,0,3,3,3]
6    77    50    0      230    0      [0,1,3,4] 	[0,1,2,3,4] 	[2,0,0,5,0]
7    42    71    0      230    0      [1,2,4] 	[] 	[0,0,5,5,2]
8    81    42    0      230    0      [0,1,2,3] 	[0,1,2,3] 	[2,5,0,2,5]
9    1     64    0      230    0      [0,1,3] 	[0,2] 	[2,5,0,0,0]
10   32    18    0      230    0      [2,3,4] 	[0,1,2,4] 	[0,0,4,0,3]
11   56    25    0      230    0      [1,3,4] 	[1] 	[0,0,0,4,3]
12   86    2     0      230    0      [1,2,3,4] 	[0,1,2,3,4] 	[2,5,0,2,2]
13   25    26    0      230    0      [0,2,3,4] 	[1,2,4] 	[5,2,2,0,5]
14   29    36    0      230    0      [0,1,2] 	[1,4] 	[5,0,4,2,5]
15   12    20    0      230    0      [0,2,3,4] 	[] 	[2,4,2,0,3]
16   41    63    0      230    0      [1,2,3] 	[0,1] 	[4,2,5,4,3]
17   21    69    0      230    0      [1,3,4] 	[3] 	[0,0,0,4,4]
18   55    33    0      230    0      [0,1,3] 	[4] 	[4,3,0,0,5]
19   49    10    0      230    0      [0,3,4] 	[0,1,2,3] 	[0,3,0,0,5]
20   16    35    0      230    0      [1,2,3,4] 	[3] 	[0,4,3,0,2]
21   75    48    0      230    0      [0,1,3,4] 	[0,4] 	[4,0,0,0,5]
22   69    53    0      230    0      [1,2,4] 	[0,1,3,4] 	[0,0,3,5,0]
23   27    29    0      230    0      [1,2,3] 	[0,1,2,3] 	[0,4,0,3,5]
24   80    29    0      230    0      [0,1,3,4] 	[1,4] 	[2,4,0,0,0]
25   72    47    0      230    0      [1,3,4] 	[0,1,2,3,4] 	[2,5,0,5,5]
26   41    49    161    171    10     [1] 	[1,4] 	[0,0,0,1,0]
27   35    17    50     60     10     [2] 	[3] 	[0,0,1,0,0]
28   55    45    116    126    10     [0] 	[3,4] 	[0,0,0,0,1]
29   55    20    149    159    10     [4] 	[0,3] 	[0,0,0,0,1]
30   15    30    34     44     10     [2] 	[] 	[0,0,0,0,0]
31   25    30    99     109    10     [4] 	[0,3] 	[0,0,0,0,0]
32   20    50    81     91     10     [4] 	[0,2] 	[0,0,0,0,1]
33   10    43    95     105    10     [1] 	[] 	[0,0,0,0,0]
34   55    60    97     107    10     [0] 	[4] 	[0,0,0,0,0]
35   30    60    124    134    10     [3] 	[] 	[0,0,0,0,1]
36   20    65    67     77     10     [0] 	[] 	[0,0,0,0,1]
37   50    35    63     73     10     [1] 	[] 	[0,0,0,0,0]
38   30    25    159    169    10     [3] 	[] 	[0,1,0,0,1]
39   15    10    32     42     10     [4] 	[] 	[0,0,0,0,1]
40   30    5     61     71     10     [3] 	[0,1] 	[0,0,0,0,1]
41   10    20    75     85     10     [0] 	[3,4] 	[0,0,0,0,0]
42   5     30    157    167    10     [4] 	[2,3] 	[0,0,0,0,0]
43   20    40    87     97     10     [4] 	[2] 	[0,0,0,0,1]
44   15    60    76     86     10     [2] 	[4] 	[1,0,0,0,0]
45   45    65    126    136    10     [2] 	[3,4] 	[0,0,0,0,0]
46   45    20    62     72     10     [3] 	[1,4] 	[0,0,0,0,1]
47   45    10    97     107    10     [3] 	[1,4] 	[0,0,0,0,0]
48   55    5     68     78     10     [0] 	[3,4] 	[0,0,0,0,0]
49   65    35    153    163    10     [2] 	[4] 	[1,0,0,0,0]
50   65    20    172    182    10     [1] 	[] 	[1,0,0,0,0]
51   45    30    132    142    10     [1] 	[1] 	[1,0,0,1,0]
52   35    40    37     47     10     [4] 	[2,3] 	[0,0,0,0,0]
53   41    37    39     49     10     [4] 	[] 	[0,0,0,0,1]
54   64    42    63     73     10     [1] 	[] 	[1,0,0,0,0]
55   40    60    71     81     10     [1] 	[] 	[0,0,0,0,0]
56   31    52    50     60     10     [3] 	[0,4] 	[0,1,0,0,1]
57   35    69    141    151    10     [1] 	[4] 	[1,0,0,1,0]
58   53    52    37     47     10     [4] 	[0,2] 	[0,0,0,0,1]
