R201.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      1000   0      [] 	[] 	[]
1    56    85    0      1000   0      [3,4] 	[] 	[0,4,0,0,0]
2    66    97    0      1000   0      [0,3] 	[0,1,3,4] 	[0,2,0,0,0]
3    39    13    0      1000   0      [0,1,4] 	[2] 	[5,4,0,3,0]
4    14    67    0      1000   0      [0,1,2,4] 	[] 	[5,5,4,4,0]
5    55    65    0      1000   0      [1,4] 	[2] 	[3,5,0,4,0]
6    98    59    0      1000   0      [2,4] 	[1,2,3] 	[3,2,3,0,0]
7    48    11    0      1000   0      [0,4] 	[1,2,3] 	[0,2,0,0,0]
8    22    24    0      1000   0      [1,2,3,4] 	[0,1,3,4] 	[5,5,5,2,0]
9    68    34    0      1000   0      [1,3] 	[0,1,2,4] 	[2,2,0,2,0]
10   100   52    0      1000   0      [1,2,3] 	[2] 	[4,3,0,0,0]
11   23    14    0      1000   0      [0,3,4] 	[3,4] 	[0,2,0,0,0]
12   37    46    0      1000   0      [1,2,4] 	[0,1,2,3] 	[5,3,3,4,0]
13   15    94    0      1000   0      [0,1,3] 	[0,1,2,3,4] 	[2,4,0,2,0]
14   79    72    0      1000   0      [1,2,4] 	[0,2,3] 	[5,4,2,2,0]
15   8     86    0      1000   0      [2,4] 	[3] 	[4,4,4,0,0]
16   68    10    0      1000   0      [0,1,2,3] 	[1,4] 	[5,0,0,5,0]
17   34    44    0      1000   0      [0,1,3,4] 	[0,1,2,4] 	[3,0,0,2,0]
18   8     19    0      1000   0      [1,2,3,4] 	[1,4] 	[4,0,2,0,0]
19   99    89    0      1000   0      [1,2,4] 	[3] 	[5,4,3,3,0]
20   92    5     0      1000   0      [0,2,3,4] 	[0,1,3] 	[4,2,5,0,0]
21   76    88    0      1000   0      [1,2,3,4] 	[0,1,2,3] 	[2,5,4,0,0]
22   100   45    0      1000   0      [0,1,2] 	[3] 	[5,4,5,4,0]
23   67    100   0      1000   0      [1,3,4] 	[] 	[4,0,0,3,0]
24   97    97    0      1000   0      [1,2] 	[] 	[2,0,3,2,0]
25   46    88    0      1000   0      [0,1,4] 	[0,1,2,3] 	[5,0,0,2,0]
26   41    49    707    848    10     [1] 	[1] 	[1,0,0,1,0]
27   35    17    143    282    10     [3] 	[] 	[0,1,0,0,0]
28   55    45    527    584    10     [4] 	[2,3] 	[0,1,0,0,0]
29   55    20    678    801    10     [4] 	[2] 	[0,0,0,0,0]
30   15    30    34     209    10     [3] 	[4] 	[0,1,0,0,0]
31   25    30    415    514    10     [4] 	[1] 	[0,1,0,0,0]
32   20    50    331    410    10     [3] 	[0,4] 	[0,0,0,0,0]
33   10    43    404    481    10     [0] 	[] 	[0,1,0,0,0]
34   55    60    400    497    10     [4] 	[2,3] 	[0,1,0,0,0]
35   30    60    577    632    10     [2] 	[] 	[1,0,1,0,0]
36   20    65    206    325    10     [3] 	[0,4] 	[0,0,0,0,0]
37   50    35    228    345    10     [2] 	[] 	[1,0,1,0,0]
38   30    25    690    827    10     [1] 	[1] 	[1,0,0,1,0]
39   15    10    32     243    10     [0] 	[3] 	[0,1,0,0,0]
40   30    5     175    300    10     [1] 	[0,1] 	[1,0,0,1,0]
41   10    20    272    373    10     [1] 	[0] 	[1,0,0,1,0]
42   5     30    733    870    10     [2] 	[2,3] 	[0,0,0,0,0]
43   20    40    377    434    10     [3] 	[4] 	[0,1,0,0,0]
44   15    60    269    378    10     [3] 	[0,4] 	[0,0,0,0,0]
45   45    65    581    666    10     [4] 	[1,3] 	[0,1,0,0,0]
46   45    20    214    331    10     [2] 	[2,3] 	[1,0,0,0,0]
47   45    10    409    494    10     [4] 	[2] 	[0,0,0,0,0]
48   55    5     206    325    10     [1] 	[0,2] 	[1,0,0,1,0]
49   65    35    704    847    10     [2] 	[2] 	[1,0,1,0,0]
50   65    20    817    956    10     [3] 	[0] 	[0,1,0,0,0]
51   45    30    588    667    10     [4] 	[] 	[0,0,0,0,0]
52   35    40    104    255    10     [3] 	[4] 	[0,0,0,0,0]
53   41    37    114    255    10     [0] 	[] 	[0,1,0,0,0]
54   64    42    190    313    10     [3] 	[4] 	[0,1,0,0,0]
55   40    60    259    354    10     [4] 	[1,2] 	[0,0,0,0,0]
56   31    52    152    275    10     [4] 	[2,3] 	[0,0,0,0,0]
57   35    69    660    777    10     [4] 	[2,3] 	[0,1,0,0,0]
58   53    52    45     200    10     [0] 	[] 	[0,1,0,0,0]
59   65    55    529    614    10     [3] 	[] 	[0,1,0,0,0]
60   63    65    686    813    10     [2] 	[2] 	[1,0,1,0,0]
61   2     60    41     208    10     [3] 	[4] 	[0,0,0,0,0]
62   20    20    606    693    10     [1] 	[1,2] 	[1,0,0,0,0]
63   5     5     302    405    10     [3] 	[] 	[0,0,0,0,0]
64   60    12    33     224    10     [4] 	[1,2] 	[0,1,0,0,0]
65   40    25    360    437    10     [1] 	[0,2] 	[0,0,0,0,0]
66   42    7     396    511    10     [3] 	[4] 	[0,1,0,0,0]
67   24    12    25     172    10     [2] 	[3] 	[1,0,1,0,0]
68   23    3     620    705    10     [2] 	[2,3] 	[0,0,1,0,0]
69   11    14    233    340    10     [2] 	[2,3] 	[1,0,1,0,0]
70   6     38    29     189    10     [3] 	[0,4] 	[0,0,0,0,0]
71   2     48    515    628    10     [2] 	[3] 	[0,0,1,0,0]
72   8     56    85     250    10     [2] 	[2] 	[0,0,0,0,0]
73   13    52    773    906    10     [4] 	[1,3] 	[0,1,0,0,0]
74   6     68    501    540    10     [0] 	[3] 	[0,0,0,0,0]
75   47    47    547    642    10     [1] 	[1] 	[0,0,0,1,0]
76   49    58    348    453    10     [2] 	[3] 	[1,0,0,0,0]
77   27    43    174    299    10     [3] 	[0,4] 	[0,1,0,0,0]
78   37    31    414    489    10     [3] 	[] 	[0,1,0,0,0]
79   57    29    641    734    10     [3] 	[] 	[0,0,0,0,0]
80   63    23    620    739    10     [0] 	[1,3] 	[0,1,0,0,0]
