RC102.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      240    0      [] 	[] 	[]
1    28    90    0      240    0      [0,2,4] 	[0,2,4] 	[0,2,0,0,3]
2    86    30    0      240    0      [0,1,4] 	[0,1,2] 	[2,2,0,0,0]
3    7     16    0      240    0      [0,2,4] 	[] 	[2,2,0,5,0]
4    70    22    0      240    0      [2,3] 	[0] 	[5,0,5,2,0]
5    63    73    0      240    0      [2,4] 	[1] 	[0,3,0,4,4]
6    12    19    0      240    0      [1,3] 	[] 	[5,0,5,0,5]
7    68    94    0      240    0      [0,1,2,3] 	[0,1,3,4] 	[3,0,4,0,4]
8    37    98    0      240    0      [1,2,3] 	[3,4] 	[3,0,5,3,2]
9    56    22    0      240    0      [1,2,3,4] 	[0,1,2,3,4] 	[5,3,4,2,4]
10   17    92    0      240    0      [3,4] 	[] 	[0,0,5,0,2]
11   80    76    0      240    0      [0,1,4] 	[0,1,4] 	[3,3,0,0,4]
12   10    80    0      240    0      [0,3,4] 	[2,3,4] 	[0,2,4,0,0]
13   17    9     0      240    0      [0,2,3] 	[] 	[3,0,2,4,0]
14   50    16    0      240    0      [1,2,4] 	[1,3] 	[2,2,0,3,2]
15   9     54    0      240    0      [0,3,4] 	[0,1,2,3,4] 	[2,3,5,0,5]
16   12    69    0      240    0      [1,2,3,4] 	[0,1,2,3,4] 	[0,4,2,4,4]
17   11    45    0      240    0      [0,3] 	[0,1] 	[5,0,2,0,0]
18   33    11    0      240    0      [1,2,3,4] 	[3] 	[5,0,0,5,0]
19   34    86    0      240    0      [1,2,3] 	[0,1,3,4] 	[4,0,0,3,5]
20   18    49    0      240    0      [0,2,3] 	[0,1] 	[0,0,4,2,0]
21   71    78    0      240    0      [0,1,4] 	[0,1,2,3] 	[2,5,0,0,4]
22   10    0     0      240    0      [2,3] 	[0,1,3] 	[5,0,5,3,0]
23   73    74    0      240    0      [2,3,4] 	[0,1,2,3,4] 	[3,5,3,0,0]
24   43    86    0      240    0      [0,1,2,4] 	[3,4] 	[4,4,0,5,2]
25   1     95    0      240    0      [0,2,4] 	[0,3] 	[4,2,0,4,3]
26   25    85    0      191    10     [2] 	[] 	[1,0,0,0,0]
27   22    75    0      199    10     [4] 	[4] 	[0,1,0,0,1]
28   22    85    0      190    10     [0] 	[0] 	[0,0,0,0,0]
29   20    80    141    171    10     [0] 	[0,3] 	[0,0,0,0,0]
