Pillac_TRSP_R1

INFO
CREW COUNT  SKILLS    TOOLS   SPARE PARTS
       12        0        0             0

DEPOT TECHNICIANS AND REQUESTS
ID           X        Y     TWS     TWE    Serv     SKILLS   TOOLS    SPARE PARTS
0          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
1          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
2          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
3          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
4          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
5          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
6          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
7          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
8          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
9          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
10         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
11         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
12         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
13         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
14         0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
15         0.0      0.0     0.0   945.0    45.0 	[] 	[] 	[]
16         0.0      0.0     0.0   989.0    45.0 	[] 	[] 	[]
17         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
18         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
19         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
20         0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
21         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
22         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
23         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
24         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
25         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
26         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
27         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
28         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
29         0.0      0.0   525.0   540.0    90.0 	[] 	[] 	[]
30         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
31         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
32         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
33         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
34         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
35         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
36         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
37         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
38         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
39         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
40         0.0      0.0   915.0   930.0    45.0 	[] 	[] 	[]
41         0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
42         0.0      0.0     0.0   879.0    45.0 	[] 	[] 	[]
43         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
44         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
45         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
46         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
47         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
48         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
49         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
50         0.0      0.0   915.0   930.0    45.0 	[] 	[] 	[]
51         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
52         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
53         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
54         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
55         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
56         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
57         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
58         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
59         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
DISTANCES
0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
3;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
4;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
5;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
6;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
7;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
8;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
9;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
