Pillac_TRSP_R2

INFO
CREW COUNT  SKILLS    TOOLS   SPARE PARTS
       12        0        0             0

DEPOT TECHNICIANS AND REQUESTS
ID           X        Y     TWS     TWE    Serv     SKILLS   TOOLS    SPARE PARTS
0          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
1          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
2          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
3          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
4          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
5          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
6          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
7          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
8          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
9          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
10         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
11         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
12         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
13         0.0      0.0     0.0   553.0    45.0 	[] 	[] 	[]
14         0.0      0.0   855.0   870.0    45.0 	[] 	[] 	[]
15         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
16         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
17         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
18         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
19         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
20         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
21         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
22         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
23         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
24         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
25         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
26         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
27         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
28         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
29         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
30         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
31         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
32         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
33         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
34         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
35         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
36         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
37         0.0      0.0   945.0   960.0    90.0 	[] 	[] 	[]
38         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
39         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
40         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
41         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
42         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
43         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
44         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
45         0.0      0.0   615.0   630.0    45.0 	[] 	[] 	[]
46         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
47         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
48         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
49         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
50         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
51         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
52         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
53         0.0      0.0  1030.0  1045.0    45.0 	[] 	[] 	[]
54         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
55         0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
56         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
57         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
58         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
59         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
60         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
61         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
DISTANCES
0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
3;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
4;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
5;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
6;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
7;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
8;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
9;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
10;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
11;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
12;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.8700;33.5400;35.0300;24.9100;49.8400;17.4400;31.4600;26.6100;40.9500;1.7700;39.2200;2.6800;16.3100;13.1000;8.5300;7.3200;4.4900;38.1400;5.8100;11.4500;2.1400;40.4300;40.1100;41.2200;47.1700;40.3500;40.7100;62.1300;59.6200;69.5000;17.4400;22.8000;8.1400;25.1000;18.4600;8.5200;17.4400;7.0500;7.4700;1.9200;8.4000;8.8500;43.1700;39.1600;84.7600;19.6700;33.8000;19.9200;36.1500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
13;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;0.0000;10.2000;2.4500;12.9000;15.7800;26.3900;22.9800;39.5900;29.7600;38.1300;28.4700;39.1200;22.3500;23.9100;28.3400;43.3810;40.7910;26.0800;41.7410;28.0500;36.8300;28.3000;27.7600;29.0900;29.7100;28.0700;26.9700;75.3900;54.7700;80.7900;26.3900;35.8700;31.9500;31.7000;25.0600;42.5400;26.3900;43.0210;39.3600;38.3600;32.8700;41.2800;31.3000;31.2400;58.7100;21.8700;11.7000;17.0200;13.6300;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700;36.8700
14;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;10.2000;0.0000;8.4800;14.3100;23.2900;23.1900;14.5500;36.7400;32.4700;34.7700;31.1800;35.6800;19.5000;20.7100;25.2500;40.5310;37.7900;28.7900;38.8910;25.2000;33.7400;31.0100;30.4700;31.8000;32.4200;30.7800;29.6800;67.7700;46.3400;72.3600;23.1900;33.0200;28.9600;28.8500;22.2100;39.2100;23.1900;40.1100;36.0300;34.9200;29.8800;38.1900;34.0100;33.9500;53.6700;13.8700;3.2700;14.1700;5.2000;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400;33.5400
