Pillac_TRSP_R3

INFO
CREW COUNT  SKILLS    TOOLS   SPARE PARTS
       12        0        0             0

DEPOT TECHNICIANS AND REQUESTS
ID           X        Y     TWS     TWE    Serv     SKILLS   TOOLS    SPARE PARTS
0          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
1          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
2          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
3          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
4          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
5          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
6          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
7          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
8          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
9          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
10         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
11         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
12         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
13         0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
14         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
15         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
16         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
17         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
18         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
19         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
20         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
21         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
22         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
23         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
24         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
25         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
26         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
27         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
28         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
29         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
30         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
31         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
32         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
33         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
34         0.0      0.0   795.0   810.0    45.0 	[] 	[] 	[]
35         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
36         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
37         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
38         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
39         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
40         0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
41         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
42         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
43         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
44         0.0      0.0     0.0  1231.0    45.0 	[] 	[] 	[]
45         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
46         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
47         0.0      0.0     0.0   954.0    90.0 	[] 	[] 	[]
48         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
49         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
50         0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
51         0.0      0.0     0.0   878.0    45.0 	[] 	[] 	[]
52         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
53         0.0      0.0   915.0   930.0    45.0 	[] 	[] 	[]
54         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
55         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
56         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
57         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
58         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
59         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
60         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
61         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
62         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
DISTANCES
0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
3;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
4;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
5;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
6;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
7;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
8;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
9;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
