Pillac_TRSP_R4

INFO
CREW COUNT  SKILLS    TOOLS   SPARE PARTS
       11        0        0             0

DEPOT TECHNICIANS AND REQUESTS
ID           X        Y     TWS     TWE    Serv     SKILLS   TOOLS    SPARE PARTS
0          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
1          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
2          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
3          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
4          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
5          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
6          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
7          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
8          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
9          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
10         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
11         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
12         0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
13         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
14         0.0      0.0     0.0  1014.0    45.0 	[] 	[] 	[]
15         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
16         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
17         0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
18         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
19         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
20         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
21         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
22         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
23         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
24         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
25         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
26         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
27         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
28         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
29         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
30         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
31         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
32         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
33         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
34         0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
35         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
36         0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
37         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
38         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
39         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
40         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
41         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
42         0.0      0.0     0.0   701.0    45.0 	[] 	[] 	[]
43         0.0      0.0   795.0   810.0    45.0 	[] 	[] 	[]
44         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
45         0.0      0.0   795.0   810.0    45.0 	[] 	[] 	[]
46         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
47         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
48         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
49         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
50         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
51         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
52         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
DISTANCES
0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
3;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
4;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
5;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
6;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
7;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
8;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
9;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
10;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
11;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
12;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;0.0000;39.3900;39.5900;44.0700;35.9100;26.9100;37.2600;65.9410;64.1700;56.1300;64.7710;27.5500;46.2600;29.3400;31.4900;29.8600;48.1000;48.1900;26.3100;60.3500;111.4200;42.8000;42.8000;46.6600;53.7900;59.8000;51.5500;53.2100;56.0400;58.2700;27.6200;28.6000;21.0100;30.2300;42.8000;27.4500;28.9500;64.7000;80.1800;28.8800;59.5800;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300;60.4300
13;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;39.3900;0.0000;8.0300;43.5500;12.1000;15.4600;6.9300;30.5610;28.4210;20.1900;29.3910;23.2800;10.8200;22.7000;27.7000;25.1400;12.2400;12.1700;22.7800;24.3800;85.1400;6.7600;6.7600;10.6400;17.8000;23.8600;30.0800;23.3900;20.1000;22.3100;17.9800;22.3900;24.3000;14.1000;6.7600;24.8600;23.9200;65.9100;53.2100;10.5100;48.3000;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900;24.4900
