Pillac_TRSP_R5

INFO
CREW COUNT  SKILLS    TOOLS   SPARE PARTS
       12        0        0             0

DEPOT TECHNICIANS AND REQUESTS
ID           X        Y     TWS     TWE    Serv     SKILLS   TOOLS    SPARE PARTS
0          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
1          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
2          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
3          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
4          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
5          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
6          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
7          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
8          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
9          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
10         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
11         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
12         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
13         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
14         0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
15         0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
16         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
17         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
18         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
19         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
20         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
21         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
22         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
23         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
24         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
25         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
26         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
27         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
28         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
29         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
30         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
31         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
32         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
33         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
34         0.0      0.0     0.0   924.0    45.0 	[] 	[] 	[]
35         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
36         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
37         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
38         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
39         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
40         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
41         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
42         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
43         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
44         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
45         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
46         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
47         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
48         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
49         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
DISTANCES
0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
3;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
4;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
5;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
6;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
7;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
8;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
9;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
