Pillac_TRSP_R6

INFO
CREW COUNT  SKILLS    TOOLS   SPARE PARTS
        4        0        0             0

DEPOT TECHNICIANS AND REQUESTS
ID           X        Y     TWS     TWE    Serv     SKILLS   TOOLS    SPARE PARTS
0          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
1          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
2          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
3          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
4          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
5          0.0      0.0   615.0   630.0    45.0 	[] 	[] 	[]
6          0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
7          0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
8          0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
9          0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
10         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
11         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
12         0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
13         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
14         0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
15         0.0      0.0   855.0   870.0    45.0 	[] 	[] 	[]
16         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
17         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
18         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
19         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
20         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
21         0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
22         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
DISTANCES
0;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
1;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
2;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
3;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
4;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
5;77.7400;77.7400;77.7400;77.7400;77.7400;0.0000;28.3400;19.1300;7.4300;57.8900;19.3900;24.2300;83.4700;77.5500;80.9810;71.8200;72.7200;66.2900;76.0000;81.8700;62.1900;75.5600;62.8000;77.7400;77.7400;77.7400;77.7400;77.7400;77.7400;77.7400;77.7400
6;86.6700;86.6700;86.6700;86.6700;86.6700;28.3400;0.0000;15.8800;20.9100;66.8200;16.1400;11.0200;92.4000;86.4800;89.9110;80.7500;81.6500;75.2200;84.9300;90.8000;65.7100;79.0800;66.3200;86.6700;86.6700;86.6700;86.6700;86.6700;86.6700;86.6700;86.6700
7;71.2100;71.2100;71.2100;71.2100;71.2100;19.1300;15.8800;0.0000;14.4900;51.3600;0.2600;5.6200;76.9400;71.0200;74.4510;65.2900;66.1900;59.7600;69.4700;75.3400;50.2500;63.6200;50.8600;71.2100;71.2100;71.2100;71.2100;71.2100;71.2100;71.2100;71.2100
8;72.8800;72.8800;72.8800;72.8800;72.8800;7.4300;20.9100;14.4900;0.0000;52.9300;14.6700;20.1100;79.3200;72.5900;76.0210;67.6700;67.7600;61.3300;71.8500;77.7200;57.4600;70.8300;58.0700;72.8800;72.8800;72.8800;72.8800;72.8800;72.8800;72.8800;72.8800
9;21.4100;21.4100;21.4100;21.4100;21.4100;57.8900;66.8200;51.3600;52.9300;0.0000;51.5700;56.4000;27.7300;21.8100;25.2410;16.0800;16.9800;10.5500;20.2600;26.1300;28.8700;33.6000;29.4700;21.4100;21.4100;21.4100;21.4100;21.4100;21.4100;21.4100;21.4100
