Pillac_TRSP_U6

INFO
CREW COUNT  SKILLS    TOOLS   SPARE PARTS
       18        0        0             0

DEPOT TECHNICIANS AND REQUESTS
ID           X        Y     TWS     TWE    Serv     SKILLS   TOOLS    SPARE PARTS
0          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
1          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
2          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
3          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
4          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
5          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
6          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
7          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
8          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
9          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
10         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
11         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
12         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
13         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
14         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
15         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
16         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
17         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
18         0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
19         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
20         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
21         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
22         0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
23         0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
24         0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
25         0.0      0.0   645.0   660.0    45.0 	[] 	[] 	[]
26         0.0      0.0   645.0   660.0    45.0 	[] 	[] 	[]
27         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
28         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
29         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
30         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
31         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
32         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
33         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
34         0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
35         0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
36         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
37         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
38         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
39         0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
40         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
41         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
42         0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
43         0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
44         0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
45         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
46         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
47         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
48         0.0      0.0   855.0   870.0    45.0 	[] 	[] 	[]
49         0.0      0.0   705.0   720.0    45.0 	[] 	[] 	[]
50         0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
51         0.0      0.0   555.0   570.0    45.0 	[] 	[] 	[]
52         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
53         0.0      0.0   615.0   630.0    45.0 	[] 	[] 	[]
54         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
55         0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
56         0.0      0.0   645.0   660.0    45.0 	[] 	[] 	[]
57         0.0      0.0     0.0   887.0    45.0 	[] 	[] 	[]
58         0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
59         0.0      0.0   645.0   660.0    45.0 	[] 	[] 	[]
60         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
61         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
62         0.0      0.0   645.0   660.0    45.0 	[] 	[] 	[]
63         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
64         0.0      0.0     0.0  1151.0    45.0 	[] 	[] 	[]
65         0.0      0.0     0.0  1140.0    45.0 	[] 	[] 	[]
66         0.0      0.0     0.0  1004.0    45.0 	[] 	[] 	[]
67         0.0      0.0     0.0  1113.0    45.0 	[] 	[] 	[]
68         0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
69         0.0      0.0   855.0   870.0    45.0 	[] 	[] 	[]
70         0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
71         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
72         0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
