Toy8

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
4           4       1       1

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    50    50    0      1236   0      [] 	   []       []
1    25    25    0      1236   0      [0,1] [0]      [4]
2    75    25    0      1236   0      [0,1] [0]      [4]
3    25    75    0      1236   0      [2,3] [0]      [4]
4    75    75    0      1236   0      [2,3] [0]      [4]
5    0     0     0      1236   200    [0]      [0]      [1]
6    100   0     0      1236   200    [1]      [0]      [1]
7    0     100   0      1236   200    [2]      [0]      [1]
8    100   100   0      1236   200    [3]      [0]      [1]
9    40    40    0      1236   200    [0]      [0]      [1]
10   60    40    0      1236   200    [1]      [0]      [1]
11   40    60    0      1236   200    [2]      [0]      [1]
12   60    60    0      1236   200    [3]      [0]      [1]
