240 550 650 0 5646.46
   0.0000      0.0000  
  30.0000      0.0000     10
  29.6306      4.6930     30
  28.5317      9.2705     30
  26.7302     13.6197     10
  24.2705     17.6336     10
  21.2132     21.2132     30
  17.6336     24.2705     30
  13.6197     26.7302     10
   9.2705     28.5317     10
   4.6930     29.6306     30
   0.0000     30.0000     30
  -4.6930     29.6306     10
  -9.2705     28.5317     10
 -13.6197     26.7302     30
 -17.6336     24.2705     30
 -21.2132     21.2132     10
 -24.2705     17.6336     10
 -26.7302     13.6197     30
 -28.5317      9.2705     30
 -29.6307      4.6930     10
 -30.0000      0.0000     10
 -29.6306     -4.6930     30
 -28.5317     -9.2705     30
 -26.7302    -13.6197     10
 -24.2705    -17.6336     10
 -21.2132    -21.2132     30
 -17.6336    -24.2705     30
 -13.6197    -26.7302     10
  -9.2705    -28.5317     10
  -4.6930    -29.6307     30
   0.0000    -30.0000     30
   4.6930    -29.6306     10
   9.2705    -28.5317     10
  13.6197    -26.7302     30
  17.6336    -24.2705     30
  21.2132    -21.2132     10
  24.2705    -17.6336     10
  26.7302    -13.6197     30
  28.5317     -9.2705     30
  29.6307     -4.6930     10
  60.0000      0.0000     10
  59.2613      9.3861     30
  57.0634     18.5410     30
  53.4604     27.2394     10
  48.5410     35.2671     10
  42.4264     42.4264     30
  35.2671     48.5410     30
  27.2394     53.4604     10
  18.5410     57.0634     10
   9.3861     59.2613     30
   0.0000     60.0000     30
  -9.3861     59.2613     10
 -18.5410     57.0634     10
 -27.2394     53.4604     30
 -35.2671     48.5410     30
 -42.4264     42.4264     10
 -48.5410     35.2671     10
 -53.4604     27.2394     30
 -57.0634     18.5410     30
 -59.2613      9.3861     10
 -60.0000      0.0000     10
 -59.2613     -9.3861     30
 -57.0634    -18.5410     30
 -53.4604    -27.2394     10
 -48.5410    -35.2671     10
 -42.4264    -42.4264     30
 -35.2671    -48.5410     30
 -27.2394    -53.4604     10
 -18.5410    -57.0634     10
  -9.3861    -59.2613     30
   0.0000    -60.0000     30
   9.3861    -59.2613     10
  18.5410    -57.0634     10
  27.2394    -53.4604     30
  35.2671    -48.5410     30
  42.4264    -42.4264     10
  48.5410    -35.2671     10
  53.4604    -27.2394     30
  57.0634    -18.5410     30
  59.2613     -9.3861     10
  90.0000      0.0000     10
  88.8920     14.0791     30
  85.5951     27.8115     30
  80.1906     40.8591     10
  72.8115     52.9007     10
  63.6396     63.6396     30
  52.9007     72.8115     30
  40.8591     80.1906     10
  27.8115     85.5951     10
  14.0791     88.8920     30
   0.0000     90.0000     30
 -14.0791     88.8920     10
 -27.8115     85.5951     10
 -40.8591     80.1906     30
 -52.9007     72.8115     30
 -63.6396     63.6396     10
 -72.8115     52.9007     10
 -80.1906     40.8591     30
 -85.5951     27.8115     30
 -88.8920     14.0791     10
 -90.0000      0.0000     10
 -88.8920    -14.0791     30
 -85.5951    -27.8115     30
 -80.1906    -40.8592     10
 -72.8115    -52.9007     10
 -63.6396    -63.6396     30
 -52.9007    -72.8115     30
 -40.8591    -80.1906     10
 -27.8115    -85.5951     10
 -14.0791    -88.8920     30
   0.0000    -90.0000     30
  14.0791    -88.8920     10
  27.8115    -85.5951     10
  40.8592    -80.1906     30
  52.9007    -72.8115     30
  63.6396    -63.6396     10
  72.8115    -52.9007     10
  80.1906    -40.8591     30
  85.5951    -27.8115     30
  88.8920    -14.0791     10
 120.0000      0.0000     10
 118.5226     18.7721     30
 114.1268     37.0820     30
 106.9208     54.4789     10
  97.0820     70.5342     10
  84.8528     84.8528     30
  70.5342     97.0820     30
  54.4789    106.9208     10
  37.0820    114.1268     10
  18.7721    118.5226     30
   0.0000    120.0000     30
 -18.7721    118.5226     10
 -37.0820    114.1268     10
 -54.4789    106.9208     30
 -70.5342     97.0820     30
 -84.8528     84.8528     10
 -97.0820     70.5342     10
-106.9208     54.4789     30
-114.1268     37.0820     30
-118.5226     18.7721     10
-120.0000      0.0000     10
-118.5226    -18.7721     30
-114.1268    -37.0821     30
-106.9208    -54.4789     10
 -97.0820    -70.5342     10
 -84.8528    -84.8528     30
 -70.5342    -97.0820     30
 -54.4788   -106.9208     10
 -37.0820   -114.1268     10
 -18.7721   -118.5226     30
   0.0000   -120.0000     30
  18.7722   -118.5226     10
  37.0821   -114.1268     10
  54.4789   -106.9208     30
  70.5342    -97.0820     30
  84.8528    -84.8528     10
  97.0821    -70.5342     10
 106.9208    -54.4788     30
 114.1268    -37.0820     30
 118.5226    -18.7721     10
 150.0000      0.0000     10
 148.1532     23.4652     30
 142.6585     46.3526     30
 133.6510     68.0986     10
 121.3525     88.1678     10
 106.0660    106.0660     30
  88.1678    121.3526     30
  68.0986    133.6510     10
  46.3525    142.6585     10
  23.4652    148.1533     30
   0.0000    150.0000     30
 -23.4652    148.1532     10
 -46.3526    142.6585     10
 -68.0986    133.6510     30
 -88.1678    121.3525     30
-106.0660    106.0660     10
-121.3526     88.1678     10
